timestamps,qw1,qx1,qy1,qz1,x1,y1,z1,qw2,qx2,qy2,qz2,x2,y2,z2,pressure
1708436361.5352998,0.14200000000000002,-0.0845,-0.7007,-0.6940000000000001,-22.080000000000002,-35.49,-107.75,,,,,,,,
1708436361.5352998,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708436361.5502882,,,,,,,,,,,,,,,2.0
1708436361.9109204,0.1419,-0.0844,-0.7007,-0.6940000000000001,-22.07,-35.5,-107.73,,,,,,,,
1708436361.9109204,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708436361.9243422,,,,,,,,,,,,,,,-0.018108
1708436362.162996,0.1419,-0.0844,-0.7007,-0.6940000000000001,-22.07,-35.49,-107.74000000000001,,,,,,,,
1708436362.162996,,,,,,,,0.7536,-0.17300000000000001,-0.28140000000000004,-0.5682,151.03,-153.34,-136.5,
1708436362.1805427,,,,,,,,,,,,,,,0.13594
1708436362.2367203,0.1418,-0.0844,-0.7007,-0.6940000000000001,-22.07,-35.5,-107.73,,,,,,,,
1708436362.2367203,,,,,,,,0.756,-0.1701,-0.2627,-0.5748,152.55,-162.12,-135.48,
1708436362.2549114,,,,,,,,,,,,,,,0.0298104
1708436362.2775524,0.1418,-0.0844,-0.7007,-0.6940000000000001,-22.07,-35.5,-107.73,,,,,,,,
1708436362.2775524,,,,,,,,0.7616,-0.168,-0.2579,-0.5702,152.18,-163.91,-135.55,
1708436362.294778,,,,,,,,,,,,,,,0.115105
1708436362.311665,0.1418,-0.0844,-0.7007,-0.6940000000000001,-22.06,-35.49,-107.73,,,,,,,,
1708436362.311665,,,,,,,,0.7677,-0.1656,-0.24630000000000002,-0.5678000000000001,152.44,-168.52,-135.22,
1708436362.3280187,,,,,,,,,,,,,,,0.19292
1708436362.3455524,0.1418,-0.0844,-0.7007,-0.6940000000000001,-22.07,-35.49,-107.73,,,,,,,,
1708436362.3455524,,,,,,,,0.7677,-0.165,-0.23870000000000002,-0.5712,152.43,-171.06,-134.81,
1708436362.3629549,,,,,,,,,,,,,,,0.042104
1708436362.3785055,0.1418,-0.0844,-0.7007,-0.6940000000000001,-22.07,-35.49,-107.73,,,,,,,,
1708436362.3785055,,,,,,,,0.7678,-0.1643,-0.2313,-0.5743,152.24,-173.5,-134.24,
1708436362.3969436,,,,,,,,,,,,,,,0.11892
1708436362.4290087,0.1418,-0.0844,-0.7007,-0.6940000000000001,-22.06,-35.5,-107.73,,,,,,,,
1708436362.4290087,,,,,,,,0.7685000000000001,-0.1626,-0.22010000000000002,-0.5782,150.69,-177.58,-133.14000000000001,
1708436362.4469583,,,,,,,,,,,,,,,-0.01798
1708436362.4768946,0.1418,-0.0844,-0.7007,-0.6940000000000001,-22.06,-35.5,-107.73,,,,,,,,
1708436362.4768946,,,,,,,,0.7747,-0.15960000000000002,-0.2124,-0.5736,148.81,-180.26,-132.69,
1708436362.4944844,,,,,,,,,,,,,,,-0.027103
1708436362.512065,0.1418,-0.0844,-0.7007,-0.6940000000000001,-22.06,-35.5,-107.73,,,,,,,,
1708436362.512065,,,,,,,,0.7793,-0.16060000000000002,-0.2097,-0.5681,147.82,-180.48,-132.89000000000001,
1708436362.5301125,,,,,,,,,,,,,,,0.046107
1708436362.5639274,0.1418,-0.0844,-0.7007,-0.6940000000000001,-22.06,-35.5,-107.73,,,,,,,,
