timestamps,qw1,qx1,qy1,qz1,x1,y1,z1,qw2,qx2,qy2,qz2,x2,y2,z2,pressure
1708435104.1246464,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1708435104.1246464,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708435104.1336226,,,,,,,,,,,,,,,-0.24898
1708435104.435842,0.15230000000000002,-0.2641,0.6598,0.6867000000000001,-11.540000000000001,-34.83,-107.32000000000001,,,,,,,,
1708435104.435842,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708435104.4493988,,,,,,,,,,,,,,,-0.21293
1708435104.4808059,0.15230000000000002,-0.2641,0.6598,0.6867000000000001,-11.540000000000001,-34.83,-107.32000000000001,,,,,,,,
1708435104.4808059,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708435104.493078,,,,,,,,,,,,,,,-0.26496
1708435104.5552473,0.15230000000000002,-0.2641,0.6598,0.6867000000000001,-11.540000000000001,-34.83,-107.32000000000001,,,,,,,,
1708435104.5552473,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708435104.5706723,,,,,,,,,,,,,,,-0.258106
1708435104.611712,0.15230000000000002,-0.2641,0.6598,0.6867000000000001,-11.540000000000001,-34.83,-107.32000000000001,,,,,,,,
1708435104.611712,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708435104.6259856,,,,,,,,,,,,,,,-0.09098
1708435104.6489244,0.15230000000000002,-0.2641,0.6598,0.6867000000000001,-11.540000000000001,-34.83,-107.32000000000001,,,,,,,,
1708435104.6489244,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708435104.6623309,,,,,,,,,,,,,,,-0.085102
1708435104.6833966,0.15230000000000002,-0.2642,0.6598,0.6867000000000001,-11.540000000000001,-34.83,-107.32000000000001,,,,,,,,
1708435104.6833966,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708435104.6970024,,,,,,,,,,,,,,,-0.01799
1708435104.7173762,0.15230000000000002,-0.2642,0.6598,0.6867000000000001,-11.540000000000001,-34.83,-107.32000000000001,,,,,,,,
1708435104.7173762,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708435104.7299702,,,,,,,,,,,,,,,-0.01192
1708435104.7440038,0.15230000000000002,-0.2641,0.6598,0.6867000000000001,-11.540000000000001,-34.83,-107.32000000000001,,,,,,,,
1708435104.7440038,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708435104.7572176,,,,,,,,,,,,,,,-0.120122
1708435104.786009,0.15230000000000002,-0.2641,0.6598,0.6867000000000001,-11.540000000000001,-34.83,-107.32000000000001,,,,,,,,
1708435104.786009,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708435104.7997143,,,,,,,,,,,,,,,0.376117
1708435104.8166869,0.15230000000000002,-0.2641,0.6598,0.6867000000000001,-11.540000000000001,-34.83,-107.32000000000001,,,,,,,,
1708435104.8166869,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1708435104.8313117,,,,,,,,,,,,,,,0.59611
1708435105.145998,0.1522,-0.2641,0.6598,0.6867000000000001,-11.540000000000001,-34.83,-107.31,,,,,,,,
1708435105.145998,,,,,,,,0.5233,-0.0441,-0.3662,-0.7681,-31.88,-4.87,-157.84,
1708435105.1632485,,,,,,,,,,,,,,,0.658104
1708435105.4618723,0.15230000000000002,-0.2642,0.6597000000000001,0.6867000000000001,-11.53,-34.82,-107.31,,,,,,,,
1708435105.4618723,,,,,,,,0.44020000000000004,0.0036000000000000003,-0.2494,-0.8625,-22.32,4.11,-137.84,
1708435105.4792466,,,,,,,,,,,,,,,0.61196
1708435105.4956264,0.15030000000000002,-0.2621,0.661,0.6868000000000001,-11.84,-34.85,-107.5,,,,,,,,
1708435105.4956264,,,,,,,,0.44380000000000003,0.0051,-0.2521,-0.8598,-22.990000000000002,3.95,-137.82,
1708435105.5132287,,,,,,,,,,,,,,,0.442105
1708435105.53185,0.14700000000000002,-0.2594,0.6618,0.6877,-11.57,-34.84,-107.31,,,,,,,,
1708435105.53185,,,,,,,,0.4445,0.0128,-0.2565,-0.8581000000000001,-24.45,4.17,-138.14000000000001,
1708435105.5493822,,,,,,,,,,,,,,,0.45493
1708435105.5662186,0.14830000000000002,-0.2605,0.6613,0.6875,-11.57,-34.85,-107.31,,,,,,,,
1708435105.5662186,,,,,,,,0.44260000000000005,0.0165,-0.25830000000000003,-0.8585,-24.46,4.12,-137.74,
1708435105.5832691,,,,,,,,,,,,,,,0.26897
1708435105.6133444,0.15,-0.2621,0.6605000000000001,0.6872,-11.86,-34.86,-107.51,,,,,,,,
1708435105.6133444,,,,,,,,0.4378,0.0229,-0.2612,-0.8599,-24.75,4.8,-137.8,
1708435105.6301,,,,,,,,,,,,,,,0.1859
1708435105.6470006,0.14980000000000002,-0.262,0.6606000000000001,0.6873,-11.86,-34.87,-107.51,,,,,,,,
1708435105.6470006,,,,,,,,0.43760000000000004,0.026000000000000002,-0.2587,-0.8606,-24.59,4.54,-136.98,
1708435105.664013,,,,,,,,,,,,,,,0.00496
1708435105.6820195,0.149,-0.2611,0.6611,0.6874,-11.56,-34.83,-107.32000000000001,,,,,,,,
1708435105.6820195,,,,,,,,0.4363,0.0284,-0.2503,-0.8637,-24.07,4.05,-135.05,
1708435105.699494,,,,,,,,,,,,,,,-0.04398
1708435105.7142694,0.1487,-0.26080000000000003,0.6612,0.6874,-11.56,-34.83,-107.31,,,,,,,,
1708435105.7142694,,,,,,,,0.43870000000000003,0.029300000000000003,-0.2479,-0.8632000000000001,-23.96,3.25,-134.09,
