timestamps,qw1,qx1,qy1,qz1,x1,y1,z1,qw2,qx2,qy2,qz2,x2,y2,z2,pressure
1708435243.322651,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1708435243.322651,,,,,,,,0.5032,0.024,-0.658,-0.5595,-14.46,-24.29,-161.11,
1708435243.3376474,,,,,,,,,,,,,,,5.0
1708435243.6997437,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1708435243.6997437,,,,,,,,0.5048,0.023200000000000002,-0.6572,-0.5591,-15.51,-24.8,-160.65,
1708435243.7142549,,,,,,,,,,,,,,,0.3677
1708435243.946179,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1708435243.946179,,,,,,,,0.5029,0.0241,-0.6543,-0.5641,-13.290000000000001,-22.41,-158.96,
1708435243.960477,,,,,,,,,,,,,,,0.192102
1708435244.0091586,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1708435244.0091586,,,,,,,,0.5043,0.0251,-0.6537000000000001,-0.5635,-14.44,-23.240000000000002,-158.55,
1708435244.024251,,,,,,,,,,,,,,,0.205104
1708435244.0528145,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1708435244.0528145,,,,,,,,0.5043,0.025500000000000002,-0.6541,-0.5631,-14.85,-23.48,-158.6,
1708435244.0672574,,,,,,,,,,,,,,,0.248106
1708435244.0858128,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1708435244.0858128,,,,,,,,0.5042,0.0253,-0.6544,-0.5628000000000001,-14.92,-23.54,-158.82,
1708435244.0976908,,,,,,,,,,,,,,,0.315112
1708435244.1168168,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1708435244.1168168,,,,,,,,0.5045000000000001,0.024900000000000002,-0.6545000000000001,-0.5625,-14.99,-23.580000000000002,-158.89000000000001,
1708435244.1300645,,,,,,,,,,,,,,,0.466101
1708435244.150684,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1708435244.150684,,,,,,,,0.5045000000000001,0.0244,-0.6549,-0.562,-15.01,-23.6,-158.95000000000002,
1708435244.1632285,,,,,,,,,,,,,,,0.408101
1708435244.1831727,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
