timestamps,qw1,qx1,qy1,qz1,x1,y1,z1,qw2,qx2,qy2,qz2,x2,y2,z2,pressure
1704802230.954578,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1704802230.954578,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1704802230.9645507,,,,,,,,,,,,,,,0.0141
1704802231.0109553,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1704802231.0109553,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1704802231.0199308,,,,,,,,,,,,,,,0.008103
1704802231.0398808,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1704802231.0398808,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1704802231.0488534,,,,,,,,,,,,,,,0.07499
1704802231.056839,0.0839,0.5919,-0.548,0.5850000000000001,28.96,1.83,-128.25,,,,,,,,
1704802231.056839,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1704802231.070797,,,,,,,,,,,,,,,0.06294
1704802231.0911822,0.0839,0.5917,-0.548,0.5851000000000001,28.96,1.8,-128.25,,,,,,,,
1704802231.0911822,,,,,,,,0.8306,-0.06430000000000001,0.24200000000000002,-0.4973,146.29,-101.62,-162.97,
1704802231.1086886,,,,,,,,,,,,,,,-0.02999
1704802231.1236897,0.0838,0.5917,-0.5481,0.5850000000000001,28.95,1.83,-128.25,,,,,,,,
1704802231.1236897,,,,,,,,0.8310000000000001,-0.0728,0.25220000000000004,-0.4902,146.9,-100.93,-163.76,
1704802231.1425817,,,,,,,,,,,,,,,-0.02199
1704802231.1555665,0.08370000000000001,0.5918,-0.5481,0.5850000000000001,28.96,1.83,-128.26,,,,,,,,
1704802231.1555665,,,,,,,,0.8263,-0.0858,0.2731,-0.4849,148.42000000000002,-100.33,-165.62,
1704802231.1745431,,,,,,,,,,,,,,,-0.0141
1704802231.190492,0.0839,0.5918,-0.548,0.5850000000000001,28.96,1.82,-128.25,,,,,,,,
1704802231.190492,,,,,,,,0.8298000000000001,-0.10830000000000001,0.27490000000000003,-0.4732,148.16,-97.47,-167.32,
1704802231.208658,,,,,,,,,,,,,,,0.0081
1704802231.2226646,0.0838,0.5918,-0.548,0.5850000000000001,28.96,1.82,-128.26,,,,,,,,
1704802231.2226646,,,,,,,,0.8352,-0.1057,0.259,-0.47340000000000004,146.27,-96.88,-166.65,
1704802231.2405748,,,,,,,,,,,,,,,0.019103
1704802231.255537,0.0839,0.5918,-0.548,0.5850000000000001,28.95,1.82,-128.26,,,,,,,,
1704802231.255537,,,,,,,,0.8370000000000001,-0.0984,0.2513,-0.47590000000000005,144.77,-97.08,-166.31,
1704802231.273486,,,,,,,,,,,,,,,0.083102
1704802231.2885,0.0838,0.5918,-0.548,0.5850000000000001,28.96,1.82,-128.25,,,,,,,,
1704802231.2885,,,,,,,,0.8361000000000001,-0.1043,0.24810000000000001,-0.47790000000000005,143.93,-96.22,-166.8,
1704802231.3070238,,,,,,,,,,,,,,,0.1181
1704802231.3229806,0.0838,0.5918,-0.548,0.5850000000000001,28.96,1.82,-128.26,,,,,,,,
1704802231.3229806,,,,,,,,0.8341000000000001,-0.1102,0.2477,-0.4803,143.99,-95.74000000000001,-167.35,
1704802231.3399348,,,,,,,,,,,,,,,0.113101
1704802231.3558936,0.0838,0.5918,-0.548,0.5850000000000001,28.96,1.82,-128.26,,,,,,,,
1704802231.3558936,,,,,,,,0.8338,-0.11120000000000001,0.2459,-0.48140000000000005,143.77,-95.62,-167.66,
1704802231.3738475,,,,,,,,,,,,,,,0.126101
1704802231.3888116,0.0838,0.5918,-0.548,0.5850000000000001,28.96,1.82,-128.26,,,,,,,,
1704802231.3888116,,,,,,,,0.8296,-0.1068,0.23420000000000002,-0.4954,142.91,-96.37,-166.75,
1704802231.406303,,,,,,,,,,,,,,,0.1361
1704802231.4212618,0.0838,0.5918,-0.548,0.5850000000000001,28.96,1.82,-128.26,,,,,,,,
1704802231.4212618,,,,,,,,0.8283,-0.1003,0.23170000000000002,-0.5001,142.44,-97.2,-166.17000000000002,
1704802231.4392138,,,,,,,,,,,,,,,0.127102
1704802231.4542127,0.0838,0.5918,-0.548,0.5850000000000001,28.96,1.82,-128.26,,,,,,,,
