timestamps,qw1,qx1,qy1,qz1,x1,y1,z1,qw2,qx2,qy2,qz2,x2,y2,z2,pressure
1704802306.631846,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1704802306.631846,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1704802306.6408234,,,,,,,,,,,,,,,98.0
1704802306.691193,0.10550000000000001,0.5707,-0.5635,0.5877,26.71,-9.77,-127.26,,,,,,,,
1704802306.691193,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1704802306.7061675,,,,,,,,,,,,,,,0.084101
1704802306.7221155,0.10550000000000001,0.5707,-0.5635,0.5877,26.72,-9.77,-127.26,,,,,,,,
1704802306.7221155,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1704802306.7361062,,,,,,,,,,,,,,,0.10398
1704802306.7546225,0.1056,0.5708,-0.5634,0.5878,26.72,-9.78,-127.28,,,,,,,,
1704802306.7546225,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1704802306.7685652,,,,,,,,,,,,,,,0.068108
1704802306.7875247,0.1056,0.5707,-0.5634,0.5878,26.73,-9.8,-127.27,,,,,,,,
1704802306.7875247,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1704802306.8004794,,,,,,,,,,,,,,,0.2041
1704802306.8204324,0.10540000000000001,0.5706,-0.5636,0.5877,26.72,-9.78,-127.25,,,,,,,,
1704802306.8204324,,,,,,,,0.43670000000000003,-0.6142000000000001,0.6545000000000001,0.058600000000000006,148.79,19.830000000000002,-225.89000000000001,
1704802306.839413,,,,,,,,,,,,,,,0.18299
1704802306.8528864,0.10550000000000001,0.5707,-0.5635,0.5877,26.71,-9.78,-127.27,,,,,,,,
1704802306.8528864,,,,,,,,0.4373,-0.6115,0.6567000000000001,0.0592,149.02,19.76,-225.81,
1704802306.871837,,,,,,,,,,,,,,,0.14899
1704802306.8877914,0.10550000000000001,0.5707,-0.5635,0.5877,26.71,-9.78,-127.26,,,,,,,,
1704802306.8877914,,,,,,,,0.43560000000000004,-0.6141,0.6553,0.059800000000000006,148.45000000000002,19.81,-225.94,
1704802306.9047444,,,,,,,,,,,,,,,0.12197
1704802306.919707,0.10550000000000001,0.5707,-0.5635,0.5877,26.72,-9.78,-127.26,,,,,,,,
1704802306.919707,,,,,,,,0.4379,-0.6098,0.6577000000000001,0.0609,148.83,19.76,-225.27,
1704802306.9376574,,,,,,,,,,,,,,,0.06797
1704802306.9521804,0.10550000000000001,0.5707,-0.5635,0.5878,26.72,-9.78,-127.26,,,,,,,,
1704802306.9521804,,,,,,,,0.439,-0.6083000000000001,0.6583,0.0608,149.03,19.76,-225.21,
1704802306.9710839,,,,,,,,,,,,,,,0.02498
1704802306.9860504,0.10550000000000001,0.5707,-0.5635,0.5878,26.72,-9.78,-127.26,,,,,,,,
1704802306.9860504,,,,,,,,0.4399,-0.6087,0.6574,0.0604,149.11,19.84,-225.14000000000001,
1704802307.0049925,,,,,,,,,,,,,,,0.00599
1704802307.0219486,0.10550000000000001,0.5707,-0.5635,0.5877,26.72,-9.77,-127.26,,,,,,,,
1704802307.0219486,,,,,,,,0.44110000000000005,-0.608,0.6573,0.0601,149.20000000000002,19.88,-224.79,
1704802307.0379386,,,,,,,,,,,,,,,0.007
1704802307.0524547,0.10550000000000001,0.5707,-0.5635,0.5877,26.71,-9.77,-127.26,,,,,,,,
1704802307.0524547,,,,,,,,0.44220000000000004,-0.6072000000000001,0.6572,0.060000000000000005,149.44,19.990000000000002,-224.70000000000002,
1704802307.0713954,,,,,,,,,,,,,,,0.092101
1704802307.0853605,0.10550000000000001,0.5707,-0.5635,0.5877,26.71,-9.77,-127.26,,,,,,,,
1704802307.0853605,,,,,,,,0.44320000000000004,-0.6074,0.6564,0.059500000000000004,149.53,20.11,-224.52,
1704802307.104311,,,,,,,,,,,,,,,0.109101
1704802307.1202657,0.10550000000000001,0.5707,-0.5635,0.5877,26.72,-9.77,-127.26,,,,,,,,
1704802307.1202657,,,,,,,,0.4486,-0.6092000000000001,0.6514,0.056,150.1,20.78,-223.46,
1704802307.138218,,,,,,,,,,,,,,,0.12298
1704802307.1517622,0.10550000000000001,0.5707,-0.5635,0.5877,26.72,-9.78,-127.26,,,,,,,,
1704802307.1517622,,,,,,,,0.4521,-0.6103000000000001,0.648,0.0553,150.16,21.18,-222.75,
1704802307.168715,,,,,,,,,,,,,,,0.084101
1704802307.1846943,0.10550000000000001,0.5707,-0.5635,0.5877,26.72,-9.77,-127.26,,,,,,,,
1704802307.1846943,,,,,,,,0.45580000000000004,-0.6105,0.6453,0.0545,150.34,21.490000000000002,-221.93,
1704802307.2016244,,,,,,,,,,,,,,,0.10398
1704802307.21858,0.10550000000000001,0.5707,-0.5636,0.5877,26.72,-9.77,-127.26,,,,,,,,
1704802307.21858,,,,,,,,0.45980000000000004,-0.6095,0.6434000000000001,0.0551,150.70000000000002,22.080000000000002,-221.07,
1704802307.2375274,,,,,,,,,,,,,,,0.068108
1704802307.2520013,0.10540000000000001,0.5707,-0.5636,0.5877,26.72,-9.77,-127.26,,,,,,,,
1704802307.2520013,,,,,,,,0.45980000000000004,-0.6081,0.6445000000000001,0.0572,150.5,22.29,-220.61,
1704802307.270949,,,,,,,,,,,,,,,0.2041
1704802307.284913,0.10540000000000001,0.5707,-0.5636,0.5877,26.72,-9.77,-127.25,,,,,,,,
1704802307.284913,,,,,,,,0.4641,-0.6088,0.641,0.054700000000000006,150.78,22.43,-220.05,
1704802307.304859,,,,,,,,,,,,,,,0.18299
1704802307.318821,0.10540000000000001,0.5706,-0.5636,0.5877,26.71,-9.77,-127.25,,,,,,,,
1704802307.318821,,,,,,,,0.47300000000000003,-0.6061000000000001,0.6363,0.062,150.58,23.1,-218.52,
1704802307.3378055,,,,,,,,,,,,,,,0.14899
1704802307.3522856,0.10540000000000001,0.5706,-0.5636,0.5877,26.72,-9.77,-127.25,,,,,,,,
1704802307.3522856,,,,,,,,0.48200000000000004,-0.605,0.63,0.0678,150.18,23.8,-216.75,
1704802307.3712301,,,,,,,,,,,,,,,0.12197
1704802307.3851964,0.10540000000000001,0.5706,-0.5636,0.5877,26.72,-9.77,-127.25,,,,,,,,
1704802307.3851964,,,,,,,,0.49770000000000003,-0.6041000000000001,0.6178,0.0741,149.84,24.94,-214.32,
1704802307.4028385,,,,,,,,,,,,,,,0.06797
1704802307.4192014,0.10540000000000001,0.5706,-0.5636,0.5877,26.72,-9.77,-127.25,,,,,,,,
1704802307.4192014,,,,,,,,0.5281,-0.5971000000000001,0.5966,0.0925,148.45000000000002,27.400000000000002,-207.84,
1704802307.436121,,,,,,,,,,,,,,,0.02498
1704802307.452662,0.10540000000000001,0.5706,-0.5636,0.5877,26.71,-9.77,-127.25,,,,,,,,
1704802307.452662,,,,,,,,0.5398000000000001,-0.5936,0.5882000000000001,0.0999,148.02,28.62,-204.20000000000002,
1704802307.4706128,,,,,,,,,,,,,,,0.00599
1704802307.4845724,0.10540000000000001,0.5706,-0.5636,0.5877,26.71,-9.77,-127.25,,,,,,,,
1704802307.4845724,,,,,,,,0.5467000000000001,-0.5888,0.5850000000000001,0.10940000000000001,147.61,29.7,-201.15,
1704802307.501522,,,,,,,,,,,,,,,0.00799
1704802307.5184786,0.10540000000000001,0.5706,-0.5636,0.5877,26.71,-9.77,-127.25,,,,,,,,
1704802307.5184786,,,,,,,,0.5566,-0.5816,0.5798,0.125,146.29,31.66,-195.20000000000002,
1704802307.5374272,,,,,,,,,,,,,,,0.0031
1704802307.5509021,0.10540000000000001,0.5706,-0.5636,0.5877,26.71,-9.77,-127.25,,,,,,,,
1704802307.5509021,,,,,,,,0.5674,-0.5775,0.5713,0.13390000000000002,145.74,32.62,-192.02,
1704802307.56886,,,,,,,,,,,,,,,0.0211
1704802307.584815,0.10540000000000001,0.5706,-0.5636,0.5877,26.71,-9.77,-127.25,,,,,,,,
1704802307.584815,,,,,,,,0.5724,-0.5744,0.5650000000000001,0.1514,143.55,33.62,-188.17000000000002,
1704802307.603765,,,,,,,,,,,,,,,0.03698
1704802307.6197212,0.10550000000000001,0.5707,-0.5636,0.5877,26.71,-9.77,-127.25,,,,,,,,
1704802307.6197212,,,,,,,,0.5835,-0.5691,0.5558000000000001,0.1631,141.74,35.050000000000004,-182.72,
1704802307.6376734,,,,,,,,,,,,,,,0.01598
1704802307.65116,0.10550000000000001,0.5707,-0.5636,0.5877,26.71,-9.77,-127.25,,,,,,,,
1704802307.65116,,,,,,,,0.5867,-0.5669000000000001,0.5533,0.1675,141.02,35.58,-180.82,
1704802307.6691108,,,,,,,,,,,,,,,-0.002101
1704802307.6850657,0.10550000000000001,0.5707,-0.5635,0.5877,26.72,-9.77,-127.25,,,,,,,,
1704802307.6850657,,,,,,,,0.5890000000000001,-0.5647,0.5511,0.1741,140.34,36.14,-178.97,
1704802307.70401,,,,,,,,,,,,,,,0.034101
1704802307.7179744,0.10550000000000001,0.5707,-0.5635,0.5877,26.72,-9.78,-127.26,,,,,,,,
1704802307.7179744,,,,,,,,0.5923,-0.5605,0.5464,0.19060000000000002,138.97,37.02,-175.20000000000002,
1704802307.735932,,,,,,,,,,,,,,,0.062101
1704802307.7504022,0.10550000000000001,0.5707,-0.5635,0.5877,26.71,-9.78,-127.25,,,,,,,,
1704802307.7504022,,,,,,,,0.5974,-0.5565,0.5412,0.2008,138.74,37.42,-173.32,
1704802307.7693677,,,,,,,,,,,,,,,0.08599
1704802307.7843177,0.10550000000000001,0.5707,-0.5635,0.5877,26.71,-9.78,-127.26,,,,,,,,
1704802307.7843177,,,,,,,,0.6004,-0.5522,0.5369,0.2149,138.20000000000002,37.75,-170.74,
1704802307.8012652,,,,,,,,,,,,,,,0.0711
1704802307.8173528,0.1056,0.5708,-0.5634,0.5877,26.71,-9.78,-127.26,,,,,,,,
1704802307.8173528,,,,,,,,0.605,-0.544,0.5321,0.23370000000000002,138.21,38.29,-167.56,
1704802307.8363283,,,,,,,,,,,,,,,0.0751
1704802307.850723,0.1056,0.5708,-0.5634,0.5877,26.71,-9.77,-127.26,,,,,,,,
1704802307.850723,,,,,,,,0.6048,-0.5389,0.5298,0.2509,137.69,38.43,-165.84,
1704802307.8696663,,,,,,,,,,,,,,,0.07999
1704802307.884625,0.1056,0.5708,-0.5634,0.5877,26.71,-9.77,-127.26,,,,,,,,
1704802307.884625,,,,,,,,0.5985,-0.5366000000000001,0.5306000000000001,0.2686,136.69,38.67,-164.6,
1704802307.9025807,,,,,,,,,,,,,,,0.0661
1704802307.917219,0.1056,0.5708,-0.5634,0.5877,26.72,-9.77,-127.26,,,,,,,,
1704802307.917219,,,,,,,,0.5910000000000001,-0.5369,0.5293,0.2864,135.46,39.15,-163.29,
1704802307.936174,,,,,,,,,,,,,,,0.072101
1704802307.950637,0.1056,0.5708,-0.5634,0.5877,26.72,-9.77,-127.26,,,,,,,,
1704802307.950637,,,,,,,,0.5884,-0.534,0.5286000000000001,0.2985,135.07,39.1,-162.0,
1704802307.9685893,,,,,,,,,,,,,,,0.0931
1704802307.9845493,0.1056,0.5708,-0.5634,0.5877,26.71,-9.77,-127.26,,,,,,,,
1704802307.9845493,,,,,,,,0.5754,-0.5345,0.5354,0.3104,134.28,39.24,-161.15,
1704802308.0015,,,,,,,,,,,,,,,0.093101
1704802308.0174582,0.10550000000000001,0.5708,-0.5634,0.5877,26.72,-9.77,-127.25,,,,,,,,
1704802308.0174582,,,,,,,,0.5424,-0.5352,0.5542,0.33480000000000004,132.65,39.160000000000004,-160.58,
1704802308.0364277,,,,,,,,,,,,,,,0.109101
1704802308.0505567,0.10550000000000001,0.5708,-0.5634,0.5877,26.71,-9.77,-127.25,,,,,,,,
1704802308.0505567,,,,,,,,0.5244,-0.5369,0.5614,0.34840000000000004,131.35,39.17,-160.05,
1704802308.0695126,,,,,,,,,,,,,,,0.12397
1704802308.0844631,0.10550000000000001,0.5708,-0.5634,0.5878,26.71,-9.77,-127.25,,,,,,,,
1704802308.0844631,,,,,,,,0.514,-0.5365,0.5657,0.3574,130.39000000000001,39.29,-159.31,
1704802308.101417,,,,,,,,,,,,,,,0.06897
1704802308.1173782,0.10550000000000001,0.5707,-0.5635,0.5877,26.71,-9.77,-127.25,,,,,,,,
1704802308.1173782,,,,,,,,0.5122,-0.5371,0.5652,0.3599,129.55,39.79,-157.02,
1704802308.1343298,,,,,,,,,,,,,,,0.02599
1704802308.150835,0.10550000000000001,0.5707,-0.5635,0.5877,26.71,-9.77,-127.25,,,,,,,,
1704802308.150835,,,,,,,,0.5114000000000001,-0.5379,0.5665,0.35800000000000004,129.42000000000002,40.02,-156.32,
1704802308.1697469,,,,,,,,,,,,,,,0.02399
1704802308.1837041,0.10550000000000001,0.5707,-0.5635,0.5877,26.71,-9.77,-127.25,,,,,,,,
1704802308.1837041,,,,,,,,0.5046,-0.5399,0.5703,0.3584,128.67000000000002,40.24,-155.64000000000001,
1704802308.20166,,,,,,,,,,,,,,,0.021101
1704802308.217616,0.10550000000000001,0.5707,-0.5635,0.5878,26.71,-9.78,-127.25,,,,,,,,
1704802308.217616,,,,,,,,0.5013000000000001,-0.543,0.5775,0.34650000000000003,128.73,40.45,-154.68,
1704802308.236578,,,,,,,,,,,,,,,0.05299
1704802308.250723,0.10550000000000001,0.5707,-0.5635,0.5878,26.71,-9.78,-127.25,,,,,,,,
1704802308.250723,,,,,,,,0.5045000000000001,-0.5425,0.5814,0.336,129.76,40.550000000000004,-154.59,
1704802308.268673,,,,,,,,,,,,,,,0.044101
1704802308.2846322,0.10550000000000001,0.5707,-0.5635,0.5878,26.72,-9.78,-127.25,,,,,,,,
1704802308.2846322,,,,,,,,0.5107,-0.5401,0.5849,0.32430000000000003,131.16,40.86,-153.82,
1704802308.3015816,,,,,,,,,,,,,,,0.07099
1704802308.3175402,0.10550000000000001,0.5707,-0.5635,0.5878,26.72,-9.78,-127.25,,,,,,,,
1704802308.3175402,,,,,,,,0.5234,-0.5337000000000001,0.5898,0.3053,134.25,41.63,-152.72,
1704802308.3344967,,,,,,,,,,,,,,,0.05998
1704802308.350479,0.10550000000000001,0.5707,-0.5635,0.5878,26.72,-9.78,-127.25,,,,,,,,
1704802308.350479,,,,,,,,0.5288,-0.5317000000000001,0.5915,0.2959,135.63,42.08,-152.41,
1704802308.3694263,,,,,,,,,,,,,,,0.03498
