timestamps,qw1,qx1,qy1,qz1,x1,y1,z1,qw2,qx2,qy2,qz2,x2,y2,z2,pressure
1704803051.475232,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1704803051.475232,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1704803051.485205,,,,,,,,,,,,,,,0.0
1704803051.5270936,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1704803051.5270936,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1704803051.53707,,,,,,,,,,,,,,,-0.0111
1704803051.5585315,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1704803051.5585315,,,,,,,,0.47990000000000005,-0.4924,-0.5888,-0.4247,61.910000000000004,-40.2,-165.70000000000002,
1704803051.571493,,,,,,,,,,,,,,,0.010104
1704803051.5924425,0.10600000000000001,0.5699000000000001,-0.5634,0.5885,26.64,-9.85,-127.16,,,,,,,,
1704803051.5924425,,,,,,,,0.4808,-0.4939,-0.5886,-0.4223,60.93,-40.84,-165.63,
1704803051.609392,,,,,,,,,,,,,,,0.09299
1704803051.6243553,0.10600000000000001,0.5699000000000001,-0.5634,0.5885,26.650000000000002,-9.86,-127.14,,,,,,,,
1704803051.6243553,,,,,,,,0.4811,-0.49450000000000005,-0.5884,-0.42150000000000004,60.620000000000005,-41.02,-165.48,
1704803051.64231,,,,,,,,,,,,,,,0.07697
1704803051.6568763,0.10590000000000001,0.5700000000000001,-0.5634,0.5884,26.64,-9.83,-127.15,,,,,,,,
1704803051.6568763,,,,,,,,0.4813,-0.49450000000000005,-0.5883,-0.4213,60.39,-41.02,-165.45000000000002,
1704803051.6748204,,,,,,,,,,,,,,,0.03196
1704803051.690782,0.10600000000000001,0.5698,-0.5634,0.5886,26.66,-9.88,-127.16,,,,,,,,
1704803051.690782,,,,,,,,0.48190000000000005,-0.49360000000000004,-0.5884,-0.42160000000000003,60.160000000000004,-40.800000000000004,-165.13,
1704803051.7099833,,,,,,,,,,,,,,,-0.02199
1704803051.742426,0.10590000000000001,0.5699000000000001,-0.5634,0.5885,26.650000000000002,-9.85,-127.15,,,,,,,,
1704803051.742426,,,,,,,,0.48260000000000003,-0.49420000000000003,-0.5875,-0.4212,60.08,-40.51,-164.61,
1704803051.7589242,,,,,,,,,,,,,,,-0.0141
1704803051.7738907,0.10600000000000001,0.5699000000000001,-0.5634,0.5885,26.650000000000002,-9.85,-127.15,,,,,,,,
1704803051.7738907,,,,,,,,0.48310000000000003,-0.49360000000000004,-0.5872,-0.4218,60.09,-40.2,-164.16,
1704803051.7918355,,,,,,,,,,,,,,,0.00898
1704803051.8068092,0.10600000000000001,0.5699000000000001,-0.5634,0.5885,26.650000000000002,-9.86,-127.15,,,,,,,,
1704803051.8068092,,,,,,,,0.4839,-0.49260000000000004,-0.5870000000000001,-0.4224,60.07,-39.87,-163.5,
1704803051.824747,,,,,,,,,,,,,,,-0.00898
1704803051.8397477,0.10590000000000001,0.5699000000000001,-0.5634,0.5885,26.650000000000002,-9.85,-127.15,,,,,,,,
1704803051.8397477,,,,,,,,0.4859,-0.4919,-0.5857,-0.4227,59.76,-39.28,-162.23,
1704803051.8572638,,,,,,,,,,,,,,,-0.02096
1704803051.872217,0.10600000000000001,0.5699000000000001,-0.5634,0.5885,26.650000000000002,-9.86,-127.15,,,,,,,,
1704803051.872217,,,,,,,,0.48650000000000004,-0.49100000000000005,-0.5854,-0.4234,59.59,-38.99,-161.78,
1704803051.8911629,,,,,,,,,,,,,,,-0.0461
1704803051.906156,0.10600000000000001,0.5699000000000001,-0.5634,0.5885,26.650000000000002,-9.86,-127.15,,,,,,,,
