timestamps,qw1,qx1,qy1,qz1,x1,y1,z1,qw2,qx2,qy2,qz2,x2,y2,z2,pressure
1704803113.0078099,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1704803113.0078099,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1704803113.017785,,,,,,,,,,,,,,,0.02798
1704803113.0659258,0.10250000000000001,0.5688,-0.5662,0.5875,26.39,-9.540000000000001,-127.14,,,,,,,,
1704803113.0659258,,,,,,,,0.3345,0.19640000000000002,-0.8394,-0.3806,117.04,11.63,-139.77,
1704803113.0837104,,,,,,,,,,,,,,,-0.03596
1704803113.0976772,0.1024,0.5688,-0.5662,0.5875,26.37,-9.540000000000001,-127.16,,,,,,,,
1704803113.0976772,,,,,,,,0.33430000000000004,0.19640000000000002,-0.8391000000000001,-0.38130000000000003,117.02,11.76,-139.68,
1704803113.1147866,,,,,,,,,,,,,,,-0.07479
1704803113.1307538,0.1024,0.5688,-0.5662,0.5875,26.38,-9.540000000000001,-127.14,,,,,,,,
1704803113.1307538,,,,,,,,0.33440000000000003,0.1965,-0.8391000000000001,-0.3811,117.02,11.75,-139.72,
1704803113.1479592,,,,,,,,,,,,,,,-0.38295
1704803113.1613348,0.1024,0.5688,-0.5663,0.5875,26.37,-9.540000000000001,-127.14,,,,,,,,
1704803113.1613348,,,,,,,,0.33430000000000004,0.1968,-0.8392000000000001,-0.381,117.06,11.74,-139.8,
1704803113.1802795,,,,,,,,,,,,,,,-0.36896
1704803113.195827,0.1024,0.5688,-0.5662,0.5875,26.38,-9.540000000000001,-127.15,,,,,,,,
1704803113.195827,,,,,,,,0.3345,0.19640000000000002,-0.8388,-0.38180000000000003,116.99000000000001,11.84,-139.59,
1704803113.2138662,,,,,,,,,,,,,,,-0.34096
1704803113.2285693,0.1024,0.5688,-0.5663,0.5875,26.38,-9.540000000000001,-127.13000000000001,,,,,,,,
1704803113.2285693,,,,,,,,0.3346,0.1962,-0.8388,-0.3819,116.93,11.86,-139.49,
1704803113.2475622,,,,,,,,,,,,,,,-0.31899
1704803113.2633271,0.1024,0.5688,-0.5662,0.5875,26.37,-9.540000000000001,-127.14,,,,,,,,
1704803113.2633271,,,,,,,,0.3345,0.19640000000000002,-0.8390000000000001,-0.3814,117.0,11.77,-139.66,
1704803113.280403,,,,,,,,,,,,,,,-0.25298
1704803113.2943819,0.1024,0.5688,-0.5662,0.5875,26.37,-9.540000000000001,-127.14,,,,,,,,
1704803113.2943819,,,,,,,,0.33440000000000003,0.1965,-0.8388,-0.38180000000000003,117.0,11.84,-139.63,
1704803113.3129563,,,,,,,,,,,,,,,-0.21597
1704803113.3280606,0.1024,0.5688,-0.5662,0.5875,26.37,-9.53,-127.14,,,,,,,,
1704803113.3280606,,,,,,,,0.33440000000000003,0.1965,-0.8388,-0.3819,117.0,11.870000000000001,-139.6,
1704803113.346385,,,,,,,,,,,,,,,-0.202106
1704803113.3610284,0.1024,0.5689000000000001,-0.5662,0.5875,26.37,-9.53,-127.14,,,,,,,,
1704803113.3610284,,,,,,,,0.33440000000000003,0.1965,-0.8387,-0.3821,116.99000000000001,11.9,-139.57,
1704803113.3789976,,,,,,,,,,,,,,,-0.04597
1704803113.3944337,0.1024,0.5689000000000001,-0.5662,0.5875,26.37,-9.53,-127.14,,,,,,,,
1704803113.3944337,,,,,,,,0.3345,0.19640000000000002,-0.8384,-0.38270000000000004,116.98,11.98,-139.48,
1704803113.4123294,,,,,,,,,,,,,,,-0.066
1704803113.4264138,0.10250000000000001,0.5689000000000001,-0.5662,0.5875,26.37,-9.53,-127.14,,,,,,,,
1704803113.4264138,,,,,,,,0.3345,0.1965,-0.8383,-0.38280000000000003,116.98,12.01,-139.46,
1704803113.4448745,,,,,,,,,,,,,,,-0.01798
1704803113.460039,0.10250000000000001,0.5689000000000001,-0.5662,0.5875,26.37,-9.540000000000001,-127.14,,,,,,,,
1704803113.460039,,,,,,,,0.3345,0.1965,-0.8383,-0.3829,116.99000000000001,12.030000000000001,-139.47,
1704803113.478344,,,,,,,,,,,,,,,-0.02798
1704803113.493521,0.1024,0.5688,-0.5662,0.5875,26.37,-9.53,-127.14,,,,,,,,
1704803113.493521,,,,,,,,0.33440000000000003,0.1966,-0.8381000000000001,-0.38320000000000004,117.01,12.09,-139.46,
1704803113.5116084,,,,,,,,,,,,,,,-0.03596
1704803113.5261998,0.1024,0.5689000000000001,-0.5662,0.5875,26.37,-9.53,-127.14,,,,,,,,
1704803113.5261998,,,,,,,,0.33440000000000003,0.1966,-0.8381000000000001,-0.38320000000000004,117.02,12.09,-139.47,
1704803113.5448282,,,,,,,,,,,,,,,-0.07479
1704803113.5593429,0.1024,0.5689000000000001,-0.5662,0.5875,26.37,-9.540000000000001,-127.14,,,,,,,,
1704803113.5593429,,,,,,,,0.3345,0.1966,-0.8381000000000001,-0.38330000000000003,117.02,12.11,-139.46,
1704803113.5785692,,,,,,,,,,,,,,,-0.38295
1704803113.5926805,0.1024,0.5688,-0.5662,0.5875,26.37,-9.53,-127.14,,,,,,,,
1704803113.5926805,,,,,,,,0.3342,0.1966,-0.8381000000000001,-0.3834,117.07000000000001,12.15,-139.47,
1704803113.6090102,,,,,,,,,,,,,,,-0.36896
1704803113.6268435,0.1024,0.5688,-0.5662,0.5875,26.37,-9.53,-127.14,,,,,,,,
1704803113.6268435,,,,,,,,0.33130000000000004,0.196,-0.8396,-0.383,117.61,12.26,-139.52,
1704803113.6440756,,,,,,,,,,,,,,,-0.34096
1704803113.659343,0.1024,0.5688,-0.5662,0.5875,26.37,-9.53,-127.14,,,,,,,,
1704803113.659343,,,,,,,,0.32930000000000004,0.1966,-0.8410000000000001,-0.3814,118.07000000000001,12.18,-139.98,
1704803113.6757553,,,,,,,,,,,,,,,-0.31899
1704803113.6931305,0.1024,0.5688,-0.5662,0.5875,26.37,-9.52,-127.14,,,,,,,,
1704803113.6931305,,,,,,,,0.3271,0.19690000000000002,-0.8400000000000001,-0.3854,118.47,13.13,-139.55,
1704803113.71137,,,,,,,,,,,,,,,-0.25298
1704803113.7259314,0.1024,0.5688,-0.5662,0.5875,26.37,-9.52,-127.14,,,,,,,,
1704803113.7259314,,,,,,,,0.3251,0.19720000000000001,-0.8392000000000001,-0.3885,118.64,13.780000000000001,-138.82,
1704803113.7427588,,,,,,,,,,,,,,,-0.21597
1704803113.7603385,0.1024,0.5688,-0.5662,0.5875,26.37,-9.52,-127.14,,,,,,,,
1704803113.7603385,,,,,,,,0.3209,0.19920000000000002,-0.8382000000000001,-0.3932,119.21000000000001,14.77,-138.16,
1704803113.7784336,,,,,,,,,,,,,,,-0.202106
1704803113.792394,0.1023,0.5688,-0.5662,0.5875,26.38,-9.51,-127.14,,,,,,,,
1704803113.792394,,,,,,,,0.3134,0.2019,-0.8355,-0.4035,120.5,16.71,-136.64000000000001,
1704803113.8093448,,,,,,,,,,,,,,,-0.04597
1704803113.8263032,0.1023,0.5688,-0.5662,0.5875,26.38,-9.51,-127.15,,,,,,,,
1704803113.8263032,,,,,,,,0.31010000000000004,0.2031,-0.8321000000000001,-0.4123,120.97,17.89,-135.36,
1704803113.8447778,,,,,,,,,,,,,,,-0.066101
1704803113.8597336,0.1023,0.5688,-0.5662,0.5875,26.39,-9.51,-127.15,,,,,,,,
1704803113.8597336,,,,,,,,0.308,0.2034,-0.8279000000000001,-0.42210000000000003,121.13,19.13,-133.77,
1704803113.8776863,,,,,,,,,,,,,,,0.03597
1704803113.8926454,0.1022,0.5688,-0.5662,0.5875,26.39,-9.49,-127.16,,,,,,,,
1704803113.8926454,,,,,,,,0.30210000000000004,0.2056,-0.8230000000000001,-0.43460000000000004,121.74000000000001,20.97,-132.04,
1704803113.9095995,,,,,,,,,,,,,,,-0.002105
1704803113.9255562,0.1022,0.5688,-0.5662,0.5875,26.39,-9.49,-127.16,,,,,,,,
1704803113.9255562,,,,,,,,0.2984,0.20550000000000002,-0.8198000000000001,-0.4433,122.19,22.09,-130.68,
1704803113.944036,,,,,,,,,,,,,,,0.09996
1704803113.9589944,0.1022,0.5688,-0.5662,0.5876,26.39,-9.49,-127.16,,,,,,,,
1704803113.9589944,,,,,,,,0.2979,0.2051,-0.8166,-0.4496,122.17,22.91,-129.53,
1704803113.9769483,,,,,,,,,,,,,,,0.033101
1704803113.9919028,0.1022,0.5688,-0.5662,0.5876,26.400000000000002,-9.49,-127.17,,,,,,,,
1704803113.9919028,,,,,,,,0.29660000000000003,0.2084,-0.8161,-0.4499,122.04,23.23,-129.36,
1704803114.0098608,,,,,,,,,,,,,,,0.0611
1704803114.0263677,0.10210000000000001,0.5688,-0.5663,0.5876,26.400000000000002,-9.49,-127.17,,,,,,,,
1704803114.0263677,,,,,,,,0.29500000000000004,0.2114,-0.8163,-0.44920000000000004,122.03,23.330000000000002,-129.23,
1704803114.043846,,,,,,,,,,,,,,,0.0681
1704803114.0578127,0.1022,0.5688,-0.5663,0.5875,26.39,-9.49,-127.17,,,,,,,,
1704803114.0578127,,,,,,,,0.2943,0.2132,-0.8159000000000001,-0.4496,122.07000000000001,23.43,-129.08,
1704803114.0747674,,,,,,,,,,,,,,,0.07398
1704803114.0917253,0.1022,0.5688,-0.5663,0.5875,26.39,-9.48,-127.17,,,,,,,,
1704803114.0917253,,,,,,,,0.2929,0.2197,-0.8128000000000001,-0.4529,121.99000000000001,24.27,-128.18,
1704803114.1096735,,,,,,,,,,,,,,,0.045102
1704803114.1256335,0.1022,0.5688,-0.5662,0.5875,26.39,-9.49,-127.17,,,,,,,,
1704803114.1256335,,,,,,,,0.2914,0.22360000000000002,-0.8111,-0.455,122.06,24.75,-127.73,
1704803114.1425903,,,,,,,,,,,,,,,0.087102
1704803114.1580682,0.1022,0.5688,-0.5662,0.5875,26.39,-9.49,-127.16,,,,,,,,
1704803114.1580682,,,,,,,,0.2891,0.2288,-0.8093,-0.4571,122.31,25.28,-127.44,
1704803114.1750228,,,,,,,,,,,,,,,0.12197
