timestamps,qw1,qx1,qy1,qz1,x1,y1,z1,qw2,qx2,qy2,qz2,x2,y2,z2,pressure
1704802716.2552574,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1704802716.2552574,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1704802716.2657423,,,,,,,,,,,,,,,201101.0
1704802716.3159556,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1704802716.3159556,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1704802716.3249238,,,,,,,,,,,,,,,0.196101
1704802716.3478005,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1704802716.3478005,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1704802716.3578887,,,,,,,,,,,,,,,0.19297
1704802716.3791902,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1704802716.3791902,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1704802716.3893764,,,,,,,,,,,,,,,0.12499
1704802716.396855,0.1051,0.5712,-0.5637,0.5872,26.68,-9.71,-127.35000000000001,,,,,,,,
1704802716.396855,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1704802716.410156,,,,,,,,,,,,,,,0.10298
1704802716.4291496,0.1052,0.5712,-0.5636,0.5872,26.68,-9.72,-127.36,,,,,,,,
1704802716.4291496,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1704802716.4428027,,,,,,,,,,,,,,,0.068102
1704802716.4637856,0.1052,0.5712,-0.5637,0.5872,26.69,-9.74,-127.34,,,,,,,,
1704802716.4637856,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1704802716.4773383,,,,,,,,,,,,,,,0.10697
1704802716.4959912,0.1051,0.5711,-0.5637,0.5872,26.68,-9.73,-127.34,,,,,,,,
1704802716.4959912,,,,,,,,0.6899000000000001,-0.33140000000000003,-0.5645,-0.309,87.23,-27.0,-114.4,
1704802716.514118,,,,,,,,,,,,,,,-0.03099
1704802716.5280826,0.1051,0.5712,-0.5637,0.5872,26.68,-9.72,-127.35000000000001,,,,,,,,
1704802716.5280826,,,,,,,,0.6898000000000001,-0.33140000000000003,-0.5645,-0.30910000000000004,87.31,-26.96,-114.41,
1704802716.5460327,,,,,,,,,,,,,,,-0.0211
1704802716.5619907,0.1051,0.5712,-0.5637,0.5872,26.68,-9.72,-127.35000000000001,,,,,,,,
1704802716.5619907,,,,,,,,0.6895,-0.331,-0.5649000000000001,-0.3095,87.44,-26.900000000000002,-114.43,
1704802716.5794892,,,,,,,,,,,,,,,0.00297
1704802716.5944471,0.1051,0.5712,-0.5637,0.5872,26.68,-9.72,-127.35000000000001,,,,,,,,
1704802716.5944471,,,,,,,,0.6894,-0.3307,-0.5651,-0.3098,87.47,-26.86,-114.42,
1704802716.613397,,,,,,,,,,,,,,,-0.02899
1704802716.6283574,0.1051,0.5712,-0.5637,0.5872,26.68,-9.72,-127.35000000000001,,,,,,,,
1704802716.6283574,,,,,,,,0.6894,-0.33080000000000004,-0.5650000000000001,-0.30970000000000003,87.47,-26.830000000000002,-114.39,
1704802716.6473053,,,,,,,,,,,,,,,-0.020102
1704802716.66227,0.1051,0.5712,-0.5637,0.5872,26.68,-9.72,-127.35000000000001,,,,,,,,
1704802716.66227,,,,,,,,0.6894,-0.3311,-0.5649000000000001,-0.3095,87.49,-26.79,-114.35000000000001,
1704802716.6803608,,,,,,,,,,,,,,,0.0351
1704802716.6953545,0.1051,0.5712,-0.5637,0.5872,26.68,-9.72,-127.35000000000001,,,,,,,,
1704802716.6953545,,,,,,,,0.6893,-0.33080000000000004,-0.5650000000000001,-0.3098,87.54,-26.75,-114.33,
1704802716.7132719,,,,,,,,,,,,,,,0.047101
1704802716.7292323,0.1051,0.5712,-0.5637,0.5872,26.68,-9.72,-127.35000000000001,,,,,,,,
1704802716.7292323,,,,,,,,0.6893,-0.33080000000000004,-0.5650000000000001,-0.3098,87.33,-26.84,-114.43,
1704802716.7475047,,,,,,,,,,,,,,,0.073101
1704802716.7615535,0.1051,0.5712,-0.5637,0.5872,26.68,-9.72,-127.35000000000001,,,,,,,,
1704802716.7615535,,,,,,,,0.6893,-0.33080000000000004,-0.5650000000000001,-0.3099,87.34,-26.82,-114.42,
1704802716.7800913,,,,,,,,,,,,,,,0.09399
1704802716.7950432,0.1051,0.5712,-0.5637,0.5872,26.68,-9.72,-127.35000000000001,,,,,,,,
1704802716.7950432,,,,,,,,0.6892,-0.3306,-0.5651,-0.31020000000000003,87.36,-26.78,-114.4,
1704802716.8124096,,,,,,,,,,,,,,,0.07799
1704802716.8328779,0.1051,0.5712,-0.5637,0.5872,26.68,-9.72,-127.35000000000001,,,,,,,,
1704802716.8328779,,,,,,,,0.6882,-0.3285,-0.5667,-0.3116,87.56,-26.580000000000002,-114.55,
1704802716.8520558,,,,,,,,,,,,,,,0.06599
1704802716.863662,0.1051,0.5712,-0.5637,0.5872,26.68,-9.72,-127.35000000000001,,,,,,,,
1704802716.863662,,,,,,,,0.6833,-0.32180000000000003,-0.5732,-0.3174,88.69,-26.21,-115.48,
1704802716.8828855,,,,,,,,,,,,,,,0.05498
1704802716.896558,0.1051,0.5712,-0.5637,0.5872,26.68,-9.72,-127.35000000000001,,,,,,,,
1704802716.896558,,,,,,,,0.6814,-0.321,-0.5752,-0.31870000000000004,89.2,-26.18,-116.28,
1704802716.915681,,,,,,,,,,,,,,,0.03099
1704802716.9309769,0.1051,0.5712,-0.5637,0.5872,26.68,-9.72,-127.34,,,,,,,,
1704802716.9309769,,,,,,,,0.68,-0.3215,-0.5766,-0.31880000000000003,89.38,-26.51,-117.61,
1704802716.9489367,,,,,,,,,,,,,,,0.027102
1704802716.9629037,0.1051,0.5712,-0.5637,0.5872,26.68,-9.72,-127.34,,,,,,,,
1704802716.9629037,,,,,,,,0.6754,-0.3221,-0.5826,-0.317,89.19,-28.51,-122.5,
1704802716.9809551,,,,,,,,,,,,,,,0.07395
1704802716.9951043,0.1051,0.5712,-0.5637,0.5872,26.68,-9.72,-127.34,,,,,,,,
1704802716.9951043,,,,,,,,0.673,-0.3235,-0.5857,-0.3148,88.73,-29.89,-125.35000000000001,
1704802717.0142548,,,,,,,,,,,,,,,-0.00499
1704802717.028832,0.1051,0.5712,-0.5637,0.5872,26.68,-9.73,-127.35000000000001,,,,,,,,
1704802717.028832,,,,,,,,0.6718000000000001,-0.3255,-0.5876,-0.3118,87.98,-31.32,-127.8,
1704802717.0469787,,,,,,,,,,,,,,,-0.00199
1704802717.0615,0.1051,0.5712,-0.5637,0.5872,26.68,-9.73,-127.35000000000001,,,,,,,,
1704802717.0615,,,,,,,,0.6693,-0.3236,-0.5929,-0.3093,86.5,-33.78,-131.32,
1704802717.0798917,,,,,,,,,,,,,,,0.002101
1704802717.0960987,0.1051,0.5711,-0.5637,0.5872,26.69,-9.73,-127.35000000000001,,,,,,,,
1704802717.0960987,,,,,,,,0.6665,-0.319,-0.5977,-0.3108,86.35000000000001,-34.6,-132.59,
1704802717.1142097,,,,,,,,,,,,,,,0.0371
1704802717.127798,0.1051,0.5711,-0.5637,0.5872,26.69,-9.73,-127.35000000000001,,,,,,,,
1704802717.127798,,,,,,,,0.6632,-0.3139,-0.6027,-0.3135,86.69,-35.07,-133.5,
1704802717.1455233,,,,,,,,,,,,,,,0.048101
1704802717.1623542,0.1052,0.5712,-0.5637,0.5872,26.69,-9.73,-127.35000000000001,,,,,,,,
1704802717.1623542,,,,,,,,0.6608,-0.311,-0.6057,-0.3154,87.26,-35.58,-134.43,
1704802717.1808467,,,,,,,,,,,,,,,0.074101
1704802717.1955123,0.1051,0.5712,-0.5637,0.5872,26.69,-9.73,-127.35000000000001,,,,,,,,
1704802717.1955123,,,,,,,,0.6607000000000001,-0.3111,-0.6058,-0.3155,87.58,-35.68,-134.71,
1704802717.2145176,,,,,,,,,,,,,,,0.0941
1704802717.2281046,0.1051,0.5712,-0.5637,0.5872,26.69,-9.73,-127.35000000000001,,,,,,,,
1704802717.2281046,,,,,,,,0.659,-0.30820000000000003,-0.608,-0.31770000000000004,88.3,-35.51,-134.83,
1704802717.245446,,,,,,,,,,,,,,,0.09496
1704802717.2624454,0.1051,0.5711,-0.5637,0.5872,26.69,-9.73,-127.35000000000001,,,,,,,,
1704802717.2624454,,,,,,,,0.6551,-0.3007,-0.6127,-0.32380000000000003,90.11,-34.84,-134.71,
1704802717.2796383,,,,,,,,,,,,,,,0.02997
1704802717.2934346,0.1051,0.5712,-0.5637,0.5872,26.68,-9.73,-127.35000000000001,,,,,,,,
1704802717.2934346,,,,,,,,0.6525000000000001,-0.2958,-0.6158,-0.3277,91.13,-34.46,-134.64000000000001,
1704802717.3115258,,,,,,,,,,,,,,,-0.006102
1704802717.3265762,0.1051,0.5712,-0.5637,0.5872,26.68,-9.73,-127.35000000000001,,,,,,,,
1704802717.3265762,,,,,,,,0.6511,-0.2931,-0.6172000000000001,-0.3302,91.85000000000001,-34.21,-134.55,
1704802717.3450322,,,,,,,,,,,,,,,0.046101
1704802717.3604603,0.1051,0.5712,-0.5637,0.5872,26.69,-9.73,-127.35000000000001,,,,,,,,
1704802717.3604603,,,,,,,,0.6491,-0.2879,-0.6198,-0.334,92.85000000000001,-33.54,-134.49,
1704802717.3786266,,,,,,,,,,,,,,,0.072101
1704802717.3934364,0.1051,0.5712,-0.5637,0.5872,26.68,-9.73,-127.35000000000001,,,,,,,,
1704802717.3934364,,,,,,,,0.6484,-0.2844,-0.6206,-0.3366,93.10000000000001,-33.02,-134.06,
1704802717.4125082,,,,,,,,,,,,,,,0.09396
