timestamps,qw1,qx1,qy1,qz1,x1,y1,z1,qw2,qx2,qy2,qz2,x2,y2,z2,pressure
1704802917.5658162,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1704802917.5658162,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1704802917.5757847,,,,,,,,,,,,,,,100.0
1704802917.622208,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1704802917.622208,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1704802917.632155,,,,,,,,,,,,,,,0.01998
1704802917.6550994,0.1061,0.5699000000000001,-0.5636,0.5884,26.64,-9.88,-127.18,,,,,,,,
1704802917.6550994,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1704802917.6710658,,,,,,,,,,,,,,,0.002104
1704802917.6870637,0.1061,0.5699000000000001,-0.5636,0.5884,26.63,-9.88,-127.18,,,,,,,,
1704802917.6870637,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1704802917.6995351,,,,,,,,,,,,,,,0.085101
1704802917.7203243,0.10600000000000001,0.5699000000000001,-0.5636,0.5884,26.63,-9.86,-127.2,,,,,,,,
1704802917.7203243,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1704802917.7342727,,,,,,,,,,,,,,,0.103101
1704802917.753228,0.10600000000000001,0.5700000000000001,-0.5636,0.5883,26.63,-9.86,-127.19,,,,,,,,
1704802917.753228,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1704802917.7671797,,,,,,,,,,,,,,,0.11896
1704802917.7862234,0.1061,0.5701,-0.5636,0.5882000000000001,26.62,-9.85,-127.19,,,,,,,,
1704802917.7862234,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1704802917.7997308,,,,,,,,,,,,,,,0.04895
1704802917.8206787,0.1061,0.5700000000000001,-0.5636,0.5883,26.63,-9.86,-127.19,,,,,,,,
1704802917.8206787,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1704802917.8336415,,,,,,,,,,,,,,,-0.0241
1704802917.8516016,0.1061,0.5700000000000001,-0.5636,0.5883,26.63,-9.870000000000001,-127.18,,,,,,,,
1704802917.8516016,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1704802917.864558,,,,,,,,,,,,,,,-0.00099
1704802917.8845792,0.1061,0.5700000000000001,-0.5636,0.5883,26.63,-9.86,-127.19,,,,,,,,
1704802917.8845792,,,,,,,,0.6736000000000001,-0.3128,-0.5986,-0.2997,52.94,-60.97,-111.97,
1704802917.9030204,,,,,,,,,,,,,,,0.0021
1704802917.918966,0.1061,0.5700000000000001,-0.5636,0.5883,26.63,-9.86,-127.19,,,,,,,,
1704802917.918966,,,,,,,,0.672,-0.3135,-0.6,-0.2999,53.43,-61.14,-113.18,
1704802917.9369154,,,,,,,,,,,,,,,0.0211
1704802917.9518814,0.1061,0.5700000000000001,-0.5636,0.5883,26.63,-9.86,-127.18,,,,,,,,
1704802917.9518814,,,,,,,,0.672,-0.3164,-0.5995,-0.2977,54.01,-61.29,-113.41,
1704802917.970824,,,,,,,,,,,,,,,0.03698
1704802917.9858618,0.10600000000000001,0.5700000000000001,-0.5636,0.5883,26.63,-9.86,-127.18,,,,,,,,
1704802917.9858618,,,,,,,,0.6732,-0.31520000000000004,-0.5983,-0.2988,53.86,-60.99,-112.34,
1704802918.0033782,,,,,,,,,,,,,,,0.01597
