timestamps,qw1,qx1,qy1,qz1,x1,y1,z1,qw2,qx2,qy2,qz2,x2,y2,z2,pressure
1704803268.9061012,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1704803268.9061012,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1704803268.9145918,,,,,,,,,,,,,,,0.0
1704803268.9574797,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1704803268.9574797,,,,,,,,nan,nan,nan,nan,nan,nan,nan,
1704803268.9664538,,,,,,,,,,,,,,,0.076103
1704803268.9903936,nan,nan,nan,nan,nan,nan,nan,,,,,,,,
1704803268.9903936,,,,,,,,0.24810000000000001,0.49310000000000004,-0.6867000000000001,-0.4728,-46.89,2.5,-130.05,
1704803269.0033572,,,,,,,,,,,,,,,0.128104
1704803269.0239375,0.1497,0.6478,-0.41100000000000003,0.6236,13.41,11.450000000000001,-125.67,,,,,,,,
1704803269.0239375,,,,,,,,0.2479,0.4932,-0.6867000000000001,-0.4728,-46.89,2.5,-130.04,
1704803269.0408525,,,,,,,,,,,,,,,0.18696
1704803269.072342,0.14980000000000002,0.6479,-0.41090000000000004,0.6236,13.4,11.43,-125.65,,,,,,,,
1704803269.072342,,,,,,,,0.24810000000000001,0.4932,-0.6868000000000001,-0.4726,-46.89,2.49,-130.06,
1704803269.091292,,,,,,,,,,,,,,,-0.043101
1704803269.1053302,0.1497,0.6479,-0.41090000000000004,0.6236,13.4,11.450000000000001,-125.66,,,,,,,,
1704803269.1053302,,,,,,,,0.24830000000000002,0.4928,-0.687,-0.4727,-46.89,2.5,-130.04,
1704803269.1248271,,,,,,,,,,,,,,,0.00097
1704803269.1387923,0.1499,0.6479,-0.41090000000000004,0.6235,13.4,11.44,-125.66,,,,,,,,
1704803269.1387923,,,,,,,,0.24830000000000002,0.4927,-0.6869000000000001,-0.4728,-46.9,2.5,-130.04,
1704803269.1588545,,,,,,,,,,,,,,,-0.0291
1704803269.1728177,0.1497,0.6478,-0.41090000000000004,0.6236,13.4,11.44,-125.66,,,,,,,,
1704803269.1728177,,,,,,,,0.24810000000000001,0.49310000000000004,-0.6868000000000001,-0.4727,-46.89,2.5,-130.05,
1704803269.190771,,,,,,,,,,,,,,,-0.005102
1704803269.20474,0.14980000000000002,0.6478,-0.41090000000000004,0.6236,13.4,11.44,-125.66,,,,,,,,
1704803269.20474,,,,,,,,0.24810000000000001,0.49310000000000004,-0.6868000000000001,-0.4727,-46.89,2.5,-130.05,
1704803269.2232645,,,,,,,,,,,,,,,0.048101
1704803269.2392251,0.1497,0.6478,-0.41090000000000004,0.6236,13.4,11.44,-125.66,,,,,,,,
1704803269.2392251,,,,,,,,0.2482,0.49300000000000005,-0.6868000000000001,-0.4727,-46.89,2.5,-130.04,
1704803269.256177,,,,,,,,,,,,,,,0.07398
1704803269.2711372,0.14980000000000002,0.6478,-0.41090000000000004,0.6236,13.4,11.44,-125.66,,,,,,,,
1704803269.2711372,,,,,,,,0.24830000000000002,0.4929,-0.6869000000000001,-0.4727,-46.9,2.5100000000000002,-130.04,
1704803269.2900858,,,,,,,,,,,,,,,0.0451
1704803269.3050876,0.14980000000000002,0.6478,-0.41090000000000004,0.6236,13.4,11.44,-125.66,,,,,,,,
1704803269.3050876,,,,,,,,0.24830000000000002,0.4928,-0.6869000000000001,-0.4727,-46.9,2.5100000000000002,-130.04,
1704803269.3226206,,,,,,,,,,,,,,,0.05597
1704803269.3375785,0.14980000000000002,0.6478,-0.41090000000000004,0.6236,13.4,11.44,-125.66,,,,,,,,
1704803269.3375785,,,,,,,,0.2484,0.4928,-0.6869000000000001,-0.4727,-46.9,2.5100000000000002,-130.03,
1704803269.3555305,,,,,,,,,,,,,,,0.014105
1704803269.3714933,0.1497,0.6478,-0.41100000000000003,0.6236,13.4,11.44,-125.66,,,,,,,,
1704803269.3714933,,,,,,,,0.2485,0.49260000000000004,-0.6869000000000001,-0.4728,-46.9,2.52,-130.01,
1704803269.3894386,,,,,,,,,,,,,,,0.11198
1704803269.4044375,0.1497,0.6478,-0.41100000000000003,0.6236,13.4,11.44,-125.66,,,,,,,,
1704803269.4044375,,,,,,,,0.2487,0.4924,-0.6869000000000001,-0.47290000000000004,-46.910000000000004,2.5300000000000002,-129.99,
1704803269.4229786,,,,,,,,,,,,,,,0.076103
1704803269.4369478,0.14980000000000002,0.6478,-0.41100000000000003,0.6236,13.4,11.44,-125.66,,,,,,,,
1704803269.4369478,,,,,,,,0.2521,0.4878,-0.6890000000000001,-0.4728,-46.94,2.5300000000000002,-129.93,
1704803269.4558928,,,,,,,,,,,,,,,0.128104
1704803269.470853,0.14980000000000002,0.6478,-0.41090000000000004,0.6236,13.4,11.43,-125.66,,,,,,,,
1704803269.470853,,,,,,,,0.26130000000000003,0.47500000000000003,-0.6785,-0.4955,-47.550000000000004,3.47,-127.72,
1704803269.4898548,,,,,,,,,,,,,,,0.18696
1704803269.5038147,0.14980000000000002,0.6478,-0.41090000000000004,0.6236,13.4,11.43,-125.66,,,,,,,,
1704803269.5038147,,,,,,,,0.2712,0.46240000000000003,-0.6745,-0.5075000000000001,-47.78,3.77,-126.4,
